CodPro,SGE,status_A1,km_A1,n_vias_A1,ids_vias_A1,status_A2,km_A2,n_vias_A2,ids_vias_A2
OAE309,30001.0,encontrada,8.6734,1,BR-222,encontrada,8.6734,1,BR-222
OAE310,30002.0,encontrada,55.1376,13,BR-222;Rua Porfirio de Araujo;CE-341;OSM-primary_link;CE-341;BR-222;CE-085;CE-423;Rua Eretides Martins;Avenida Coronel Neco Martins,encontrada,55.1376,13,BR-222;Rua Porfirio de Araujo;CE-341;OSM-primary_link;CE-341;BR-222;CE-085;CE-423;Rua Eretides Martins;Avenida Coronel Neco Martins
OAE311,30003.0,encontrada,55.1352,13,BR-222;Rua Porfirio de Araujo;CE-341;OSM-primary_link;CE-341;BR-222;CE-085;CE-423;Rua Eretides Martins;Avenida Coronel Neco Martins,encontrada,55.1352,13,BR-222;Rua Porfirio de Araujo;CE-341;OSM-primary_link;CE-341;BR-222;CE-085;CE-423;Rua Eretides Martins;Avenida Coronel Neco Martins
OAE312,30004.0,encontrada,1.5193,3,CE-163;BR-222,encontrada,1.561,3,CE-163;BR-222
OAE313,30005.0,encontrada,19.6682,4,BR-020;OSM-tertiary;CE-187,encontrada,19.6682,4,BR-020;OSM-tertiary;CE-187
OAE314,30006.0,encontrada,2.714,7,BR-020;Avenida Coronel Vicente Alexandrino de Sousa;Avenida Monsenhor Juviniano Barreto;Rua Coronel Lourenço Feitosa;Rua Monsenhor Odorico de Andrade;Rua Júlio Gonçalves da Silva,encontrada,2.714,7,BR-020;Avenida Coronel Vicente Alexandrino de Sousa;Avenida Monsenhor Juviniano Barreto;Rua Coronel Lourenço Feitosa;Rua Monsenhor Odorico de Andrade;Rua Júlio Gonçalves da Silva
OAE315,30007.0,encontrada,170.2733,6,BR-020;CE-363;CE-168;OSM-tertiary;CE-587,encontrada,242.7435,13,BR-020;CE-363;CE-363;CE-168;OSM-tertiary;CE-060;CE-363;CE-060;BR-226;BR-226;CE-168;Rodovia Presidente Juscelino Kubitschek
OAE316,30008.0,encontrada,170.3238,6,BR-020;CE-363;CE-168;OSM-tertiary;CE-587,encontrada,242.7939,13,BR-020;CE-363;CE-363;CE-168;OSM-tertiary;CE-060;CE-363;CE-060;BR-226;BR-226;CE-168;Rodovia Presidente Juscelino Kubitschek
OAE317,30009.0,encontrada,170.3158,6,BR-020;CE-587;OSM-tertiary;CE-168;CE-363,encontrada,242.786,13,BR-020;Rodovia Presidente Juscelino Kubitschek;BR-226;BR-226;CE-168;CE-060;CE-060;CE-363;CE-363;OSM-tertiary;CE-363;CE-168
OAE318,30010.0,encontrada,170.3167,6,BR-020;CE-363;CE-168;OSM-tertiary;CE-587,encontrada,242.7869,13,BR-020;CE-363;CE-363;CE-168;OSM-tertiary;CE-060;CE-363;CE-060;BR-226;BR-226;CE-168;Rodovia Presidente Juscelino Kubitschek
OAE319,30011.0,encontrada,170.3253,6,BR-020;CE-363;CE-168;OSM-tertiary;CE-587,encontrada,242.7954,13,BR-020;CE-363;CE-363;CE-168;OSM-tertiary;CE-060;CE-363;CE-060;BR-226;BR-226;CE-168;Rodovia Presidente Juscelino Kubitschek
OAE320,30012.0,encontrada,170.3228,6,BR-020;CE-363;CE-168;OSM-tertiary;CE-587,encontrada,242.793,13,BR-020;CE-363;CE-363;CE-168;OSM-tertiary;CE-060;CE-363;CE-060;BR-226;BR-226;CE-168;Rodovia Presidente Juscelino Kubitschek
OAE321,30013.0,encontrada,125.569,10,BR-020;BR-226;Rodovia Presidente Juscelino Kubitschek;CE-168;Rua Balbina Vieira Almeida;CE-266;Rua Antônio Domingues;Rua Antônio Rocha Bezerra,encontrada,125.569,10,BR-020;BR-226;Rodovia Presidente Juscelino Kubitschek;CE-168;Rua Balbina Vieira Almeida;CE-266;Rua Antônio Domingues;Rua Antônio Rocha Bezerra
OAE322,30014.0,encontrada,125.6392,10,BR-020;BR-226;Rodovia Presidente Juscelino Kubitschek;CE-168;Rua Balbina Vieira Almeida;CE-266;Rua Antônio Domingues;Rua Antônio Rocha Bezerra,encontrada,125.6392,10,BR-020;BR-226;Rodovia Presidente Juscelino Kubitschek;CE-168;Rua Balbina Vieira Almeida;CE-266;Rua Antônio Domingues;Rua Antônio Rocha Bezerra
OAE323,30015.0,encontrada,125.634,10,BR-020;Rua Antônio Rocha Bezerra;Rua Antônio Domingues;CE-266;Rua Balbina Vieira Almeida;CE-168;BR-226;Rodovia Presidente Juscelino Kubitschek,encontrada,125.634,10,BR-020;Rua Antônio Rocha Bezerra;Rua Antônio Domingues;CE-266;Rua Balbina Vieira Almeida;CE-168;BR-226;Rodovia Presidente Juscelino Kubitschek
OAE324,30016.0,encontrada,125.6002,10,BR-020;BR-226;Rodovia Presidente Juscelino Kubitschek;CE-168;Rua Balbina Vieira Almeida;CE-266;Rua Antônio Domingues;Rua Antônio Rocha Bezerra,encontrada,125.6002,10,BR-020;BR-226;Rodovia Presidente Juscelino Kubitschek;CE-168;Rua Balbina Vieira Almeida;CE-266;Rua Antônio Domingues;Rua Antônio Rocha Bezerra
OAE325,30017.0,encontrada,2.3801,5,BR-020;Rua Antônio Rocha Bezerra;Rua Antônio Domingues;CE-266,encontrada,2.3801,5,BR-020;Rua Antônio Rocha Bezerra;Rua Antônio Domingues;CE-266
